barrioID,barrioName
1,Huertas-Cortes
2,Castellana
3,Recoletos
4,Guindalera
5,Nueva España
6,Lista
7,Lavapiés-Embajadores
8,San Juan Bautista
9,Chueca-Justicia
10,El Viso
11,Malasaña-Universidad
12,Puerta del Ángel
13,Trafalgar
14,Palacio
15,Palos de la Frontera
16,Sol
17,Ibiza
18,Ventilla-Almenara
19,Cuatro Caminos
20,Almagro
21,Nuevos Ministerios-Ríos Rosas
22,Virgen del Cortijo - Manoteras
23,Chopera
24,Acacias
25,Fuente del Berro
26,Simancas
27,Conde Orgaz-Piovera
28,Peñagrande
29,Goya
30,Valdeacederas
31,Argüelles
32,Abrantes
33,Legazpi
34,Pinar del Rey
35,Bernabéu-Hispanoamérica
36,Comillas
37,Valdezarza
38,Bellas Vistas
39,Quintana
40,Estrella
41,Imperial
42,Prosperidad
43,Palomas
44,Castilla
45,Pacífico
46,Pau de Carabanchel
47,Gaztambide
48,Rejas
49,Arapiles
50,Niño Jesús
51,Delicias
52,Berruguete
53,Ciudad Jardín
54,Pueblo Nuevo
55,La Paz
56,Los Rosales
57,Ciudad Universitaria
58,Cuzco-Castillejos
59,Vallehermoso
60,Las Tablas
61,Ventas
62,Casa de Campo
63,Valdebebas - Valdefuentes
64,Jerónimos
65,Numancia
66,Adelfas
67,San Isidro
68,Horcajo
69,Aluche
70,Canillas
71,Ensanche de Vallecas - La Gavia
72,Opañel
73,Valdemarín
74,Apóstol Santiago
75,Costillares
76,Concepción
77,Tres Olivos - Valverde
78,Fontarrón
79,San Diego
80,Canillejas
81,Almendrales
82,Lucero
83,Vista Alegre
84,Colina
85,Sanchinarro
86,Campamento
87,Orcasitas
88,Aravaca
89,El Cañaveral
90,Casco Histórico de Barajas
91,Media Legua
92,Palomeras sureste
93,San Pascual
94,Pilar
95,Palomeras Bajas
96,San Fermín
97,Moscardó
98,Villaverde Alto
99,Salvador
100,Buena Vista
101,Ambroz
102,Atalaya
103,Los Ángeles
104,El Plantío
105,Butarque
106,Montecarmelo
107,Casco Histórico de Vallecas
108,Marroquina
109,Los Cármenes
110,Mirasierra
111,Arroyo del Fresno
112,Águilas
113,Alameda de Osuna
114,Zofío
115,Entrevías
116,Fuentelarreina
117,Pradolongo
118,Amposta
119,Portazgo
120,Timón
121,San Cristóbal
122,Arcos
123,Puerta Bonita
124,Campo de las Naciones-Corralejos
125,Casco Histórico de Vicálvaro
126,Cuatro Vientos
127,Rosas
128,Santa Eugenia
129,Vinateros
130,12 de Octubre-Orcasur
131,Valdebernardo - Valderrivas
132,Los Berrocales
133,Pavones
134,Los Cerros
135,Hellín
136,El Pardo
137,Valdecarros
